priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
62,1,pending,pending,active,active,high,forms-services,4.02,4.02,ready,2558,6,1,85,1,ysgpc/Word List6/Word List6-Unit1.mp3,228.11,228.63
63,1,permit,permit,active,active,high,forms-services,4.22,4.87,ready,1600,4,2,17,1,ysgpc/Word List4/Word List4-Unit2.mp3,51.79,52.29
64,1,portable,portable,receptive,active,high,forms-services,3.97,3.97,ready,1989,5,1,12,1,ysgpc/Word List5/Word List5-Unit1.mp3,37.45,37.97
65,1,preference,preference,active,active,high,forms-services,4.11,4.11,ready,1996,5,1,19,1,ysgpc/Word List5/Word List5-Unit1.mp3,56.18,56.83
66,1,preliminary,preliminary,active,active,high,forms-services,4.16,4.16,ready,946,2,5,55,1,ysgpc/Word List2/Word List2-Unit5.mp3,151.47,152.01
67,1,premium,premium,active,active,high,forms-services,4.33,4.33,ready,3433,7,5,71,1,ysgpc/Word List7/Word List7-Unit5.mp3,192.15,192.68
68,1,presentation,presentation,active,active,high,forms-services,4.31,4.31,ready,1914,4,5,36,1,ysgpc/Word List4/Word List4-Unit5.mp3,101.32,102.18
69,1,profile,profile,active,active,high,forms-services,4.82,4.82,ready,3395,7,5,33,1,ysgpc/Word List7/Word List7-Unit5.mp3,93.12,93.7
70,1,proof,proof,active,active,high,forms-services,4.7,4.7,ready,1792,4,4,13,1,ysgpc/Word List4/Word List4-Unit4.mp3,39.62,40.07
71,1,protocol,protocol,active,active,high,forms-services,4.15,4.15,ready,2027,5,1,50,1,ysgpc/Word List5/Word List5-Unit1.mp3,137.88,138.43
72,1,purchase,purchase,active,active,high,forms-services,4.71,4.71,ready,2940,6,5,70,1,ysgpc/Word List6/Word List6-Unit5.mp3,188.62,189.23
73,1,qualify,qualify,active,active,high,forms-services,4.19,4.19,ready,2490,6,1,17,1,ysgpc/Word List6/Word List6-Unit1.mp3,49.94,50.51
74,1,quantity,quantity,active,active,high,forms-services,4.07,4.07,ready,3074,7,2,6,1,ysgpc/Word List7/Word List7-Unit2.mp3,20.87,21.45
75,1,reception,reception,active,active,high,forms-services,4.23,4.23,ready,1102,3,2,15,1,ysgpc/Word List3/Word List3-Unit2.mp3,44.86,45.5
76,1,recommend,recommend,active,active,high,forms-services,4.61,4.61,ready,2769,6,3,97,1,ysgpc/Word List6/Word List6-Unit3.mp3,261.89,262.59
